product_id,product_name,price,detail,published_date,publisher,product_image,author
1,2024 빅데이터분석기사 실기 한권완성: 파이썬(Python) (작업형 제3유형 완벽 대비 / 파이썬 기초부터 실전 대비까지 / 현업 데이터사이언티스트의 코드 전면 공유 / 202,27000,"빅데이터분석기사 실기시험 초단기 합격을 위한 최고의 실전 대비서
‘2024 빅데이터분석기사 실기 한권완성 [파이썬(Python)]’이 출간되었습니다. 실제 시험의 출제 경향을 완벽 분석·반영하여 실기시험을 위한 기초 이론 요약과 변경된 시험 유형에 맞추어 작업형 제3유형까지 대비할 수 있도록 작업형에 대한 핵심이론 및 실전 문제를 한 권에 수록하였습니다. ",20240520,예문에듀,\img\2024 빅데이터분석기사 실기 한권완성: 파이썬(Python) (작업형 제3유형 완벽 대비 _ 파이썬 기초부터 실전 대비까지 _ 현업 데이터사이언티스트의 코드 전면 공유 _ 2023년 포함 최신기출복원문제 6회분 수록).jpg,최예신^박진원^이경숙^김주현
2,데이터에듀 빅데이터 분석기사 실기 with Python,26100,"본 도서는 한국데이터산업진흥원에서 실시할 예정인 『빅데이터 분석기사』 자격증을 준비하는 수험생들을 위한 도서입니다. 2014년 데이터분석 준전문가(Advanced Data Analytics semi-Professional, ADsP) 자격증 시험 시행 이후 정부 주도로 빅데이터 분야의 국가공인 자격증 신설을 준비해왔습니다. 

2021년 6월부터 시행한 빅",20240503,데이터에듀,\img\데이터에듀 빅데이터 분석기사 실기 with Python.jpg,윤종식
3,2024 이기적 빅데이터분석기사 실기 기본서 Python 분석 (개념부터 기출까지 제공하는 완벽 입문서),22500,"본 도서는 최신 출제기준을 적용한 도서로, 빅데이터분석기사 실기 시험의 경향을 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서이다. 파이썬 언어를 기반으로 작성되었으며, 많은 예시로 수험자의 공부 폭을 넓혀 다양한 경험을 제공하고, 꼼꼼한 이론과 예상문제를 통해 시험 유형에 철저하게 대비할 수 있도록 하였다. 또한 실기 시험의 핵심을 다루는 ",20231113,영진닷컴,\img\2024 이기적 빅데이터분석기사 실기 기본서 Python 분석 (개념부터 기출까지 제공하는 완벽 입문서).jpg,나홍석^배원성^이건길^이혜영^고려사이버대학교 AI·빅데
4,Python (Python basics for Beginners),40940,Are you thinking about learning how to use the Python programming language? Thinking about getting started on a programming career?Python is one of the easiest computer programming languages to learn ,20210801,Ladoo Publishing LLC,\img\Python (Python basics for Beginners).jpg,Unknown
6,Python,47500,DescriptionAre you one of those individuals who want to learn more about machine learning using Python? Perhaps you are seeking a detailed guide explaining how you can manage machine learning easily a,20201102,Davide Cicatiello,\img\Python.jpg,Unknown
7,Python (머리에 쏙쏙 들어오는 파이썬 안내서),20000,"고유한 기법으로 파이썬 언어를 가르치는 실용 안내서 『헤드 퍼스트 파이썬』. 파이썬에서 제공하는 함수 모듈, 데이터 마이닝, 데이터 랭글링 등의 기법을 다양한 예제를 통해 쉽고 빠르게 익히도록 도와준다. 파이썬의 기초를 간단히 살펴보고 영속성, 예외 처리, 웹 개발, SQLite, 데이터 마이닝, 구글 앱 엔진을 적용한다. 또한 안드로이드용 웹앱도 만들어 ",20111028,한빛미디어,\img\Python (머리에 쏙쏙 들어오는 파이썬 안내서).jpg,폴 배리
8,Python (Visual QuickStart Guide),31100,"The quick and easy way to master Python for Internet and Intranet programming with this visual, step-by-step guide to the popular Python programming language. This guide contains cross-platform covera",20011001,Peachpit Press,\img\Python (Visual QuickStart Guide).jpg,Unknown
9,"처음 만나는 통계와 데이터분석: R과 Python 활용 (R과 Python 활용, 제2판)",18900,"통계와 데이터분석은 금융권 업무와 동떨어져 있고, 극소수의 사람만 알면 되는 그다지 쓸모없는 지식인 것처럼 여겨지던 때가 있었습니다. 그러나 지금은 데이터의 시대이고 빅데이터 분석과 활용이 화두가 될 정도로 상황이 많이 바뀌었습니다. 여기저기에서 통계와 데이터분석을 배우지 않으면 남들보다 뒤처질 것처럼 얘기하다 보니 왠지 꼭 배워야만 할 것 같은 분위기가 ",20240401,한국금융연수원,"\img\처음 만나는 통계와 데이터분석: R과 Python 활용 (R과 Python 활용, 제2판).jpg",윤정연
10,알고리즘으로 배우는 수치해석: Python 활용 (Python 활용),27000,"이 책은 수치해석에 대한 최신의 경향을 따라가기 위해서, 수학적 배경, 알고리즘, 프로그래밍 기법을 한 곳에 모아 놓은 책이다. 따라서, 독자들의 다양한 필요에 따라서 적절한 내용을 체계적으로 학습할 수 있도록 배려하였다. 이 책은 특별히 알고리즘의 작동 원리를 설명하는데 중점을 두었다. 프로그램을 수행하기 위해서는 작동 원리를 반드시 이해해야 하기 때문이",20220915,학산미디어,\img\알고리즘으로 배우는 수치해석: Python 활용 (Python 활용).jpg,최덕기
11,Intermediate Python,25000,"This book provides you with relevant information about using intermediate Python 3.x for a variety of topics, such as comprehensions, iterators, generators, regular expressions, OOP, queues and stacks",20230918,Mercury Learning and Informati,\img\Intermediate Python.jpg,"Campesato, Oswald"
12,기초통계플러스알파 (R과 Python을 활용한),27600,"데이터가 있는 곳에 통계가 있다!

빅데이터의 활용으로 4차 산업혁명 시대인 현대 사회에서 통계학은 필수적인 분석도구라 할 수 있다. 그러나 통계학을 배우거나 사용하려는 사람들에게는 통계학이 어렵고 진입장벽이 높다고 느껴지는 것이 일반적이다. 이 책은 통계학의 기본 개념과 용어, 통계적 사고 방법을 쉽게 받아들일 수 있게 도와주고, 통계학을 배우는 학생들의",20230302,경문사,\img\기초통계플러스알파 (R과 Python을 활용한).jpg,김명준^김영화^박영호
13,Python Distilled,60000,The innovative case-based way to learn neurology - completely revised for today's shelf exam,20211109,Pearson,\img\Python Distilled.jpg,David M. Beazley
14,Python for Geeks (Build production-ready applications using advanced Python concepts and industry be,60000,Python for Geeks helps you enhance your Python skills so you can build large-scale projects using modular techniques. The libraries and tricks discussed with practical code examples and case studies m,20211020,Packt Publishing,\img\Python for Geeks (Build production-ready applications using advanced Python concepts and industry best practices).jpg,Unknown
15,Effective Python (90 Specific Ways to Write Better Python),67960,"Updated and Expanded for Python 3
 
It’s easy to start developing programs with Python, which is why the language is so popular. However, Python’s unique strengths, charms, and expressiveness can be h",20191125,Addison-Wesley,\img\Effective Python (90 Specific Ways to Write Better Python).jpg,Brett Slatkin
16,Mastering Python,47000,Master the art of writing beautiful and powerful Python by using all of the features that Python 3.,20160801,Packt Publishing,\img\Mastering Python.jpg,Rick van Hattem
17,Python 3 Using Chatgpt / Gpt-4,24000,"This book is intended primarily for people who want to learn both Python 3 and how to use ChatGPT with Python. Chapter One begins with an introduction to fundamental aspects of Python programming, inc",20231220,Mercury Learning and Informati,\img\Python 3 Using Chatgpt _ Gpt-4.jpg,"Campesato, Oswald"
18,R과 Python을 활용한 통계계산 (개정판),18000,계산도구는 데이터과학에서 손꼽히는 두 언어인 R과 Python다. 모든 알고리즘을 직접 코딩하였고 내장함수(built-in functions)와의 연계를 꾀하였다. R과 Python 중 하나로도 이 책을 학습할 수 있다. 교재에 제시된 R과 Python 스크립트는 출판사 홈페이지(http://www.freeaca.com) 자료실에 올려져 있다. “copy ,20240329,자유아카데미,\img\R과 Python을 활용한 통계계산 (개정판).jpg,허명회
